苹果园		36 317
古城		58 358
八角游乐园	80 358
八宝山		102 358
玉泉路		124 358
五棵松		146 358
万寿路		168 358
公主坟		190 358
军事博物馆	212 358
木樨地		234 358
南礼士路	266 358
复兴门		278 358
西单		300 358
天安门西	322 358
天安门东	344 358
王府井		366 358
东单		388 358
建国门		410 358
永安里		420 358
国贸		432 358
大望路		454 358
四惠		476 358
四惠东		498 358
西直门		278 200
车公庄		278 247
阜成门		278 300                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
长椿街		278 370
宣武门		300 387
和平门		322 387
前门		344 387
崇文门		388 387
北京站		405 390	
朝阳门		410 282
东四十条	410 247
东直门		410 200
雍和宫		388 177
安定门		366 177
鼓楼大街	344 177
积水潭		322 177
惠新西街北口	388 37
惠新西街南口	388 72
和平西桥	388 107
和平里北街	388 142
北新桥		388 212
张自忠路	388 247
东四		388 282
灯市口		388 317
磁器口		388 422
天坛东门	388 457
蒲黄榆		388 492
刘家窑		388 527
宋家庄		388 562
海淀五路居	146 247
慈寿寺		168 247
花园桥		212 247
白石桥南	234 247
车公庄西	256 247
平安里		322 247
北海北		344 247
南锣鼓巷	366 247
东大桥		420 282
呼家楼		432 282
金台路		454 282
十里堡		476 282
青年路		498 282
褡裢坡		520 282
巴沟		168 40
苏州街		190 68
海淀黄庄	234 72
知春里		256 72
知春路		270 72
西土城		288 72
牡丹园		300 72
健德门		322 72
北土城		344 72
安贞门		366 72
芍药居		410 72
太阳宫		428 100
三元桥		432 120
亮马桥		432 175
农业展览馆	432 210
团结湖		432 247
金台夕照	432 317
双井		432 422
劲松		432 440
潘家园		432 457
十里河		432 492
分钟寺		428 550
成寿寺		410 562
石榴庄		366 562
大红门		344 562
角门东		322 562
角门西		300 562
草桥		278 562
纪家庙		245 562
首经贸		223 562
丰台站		205 562
泥洼		190 527
西局		190 492
六里桥		190 435
莲花桥		190 400
西钓鱼台	180 300
车道沟		168 212
长春桥		168 177
火器营		168 110

