苹果园		36 300
古城		58 375
八角游乐园	80 341
八宝山		102 375
玉泉路		124 341
五棵松		146 375
万寿路		168 341
公主坟		190 375
军事博物馆	209 341
木樨地		234 375
南礼士路	254 341
复兴门		285 341
西单		310 341
天安门西	322 375
天安门东	344 341
王府井		358 375
东单		388 341
建国门		413 375
永安里		420 341
国贸		437 375
大望路		454 341
四惠		476 375
四惠东		498 341
西直门		278 183
车公庄		278 264
阜成门		300 300                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
长椿街		278 387
宣武门		298 404
和平门		327 404
前门		352 404
崇文门		383 370
北京站		415 407	
朝阳门		412 265
东四十条	420 230
东直门		420 183
雍和宫		388 160
安定门		357 160
鼓楼大街	344 194
积水潭		322 160
惠新西街北口	388 20
惠新西街南口	415 55
和平西桥	388 90
和平里北街	388 125
北新桥		388 195
张自忠路	378 232
东四		388 265
灯市口		388 300
磁器口		388 405
天坛东门	388 440
蒲黄榆		388 475
刘家窑		388 510
宋家庄		388 545
海淀五路居	146 230
慈寿寺		168 264
花园桥		212 230
白石桥南	234 264
车公庄西	256 230
平安里		322 264
北海北		344 230
南锣鼓巷	360 264
东大桥		420 299
呼家楼		440 265
金台路		454 299
十里堡		476 265
青年路		498 299
褡裢坡		520 265
巴沟		168 23
苏州街		190 51
海淀黄庄	220 89
知春里		256 55
知春路		270 89
西土城		288 55
牡丹园		300 89
健德门		322 55
北土城		344 89
安贞门		366 55
芍药居		430 72
太阳宫		448 100
三元桥		452 120
亮马桥		452 175
农业展览馆	462 210
团结湖		452 247
金台夕照	457 317
双井		452 422
劲松		452 440
潘家园		452 457
十里河		452 492
分钟寺		448 550
成寿寺		410 579
石榴庄		366 579
大红门		344 545
角门东		322 579
角门西		300 545
草桥		278 579
纪家庙		245 545
首经贸		223 579
丰台站		205 545
泥洼		170 527
西局		170 492
六里桥		170 435
莲花桥		170 400
西钓鱼台	155 300
车道沟		148 212
长春桥		148 177
火器营		148 110

